Modelo,RMSE,MAE,R2,MAPE (%),Tiempo Entrenamiento (s)
Random Forest (Árboles),0.7492,0.5384,0.5717,32.2586,104.9602
Ridge Regression (Penalizado),0.944,0.7131,0.32,46.3333,0.4675
